team_a,team_b,seed_a,seed_b,odds_a,odds_b,round,winner,source,score
UMBC,Howard,16,16,-120,100,First Four,Howard,DraftKings_real,Howard 86-83 UMBC
NC State,Texas,11,11,-120,100,First Four,Texas,DraftKings_real,Texas 68-66 NC State
SMU,Miami OH,11,11,-325,260,First Four,Miami OH,DraftKings_real,Miami OH 89-79 SMU
Lehigh,Prairie View AM,16,16,-120,100,First Four,Prairie View AM,DraftKings_real,Prairie View AM 67-55 Lehigh
Ohio State,TCU,8,9,-155,130,First Round,TCU,DraftKings_real,TCU 66-64 Ohio State
Nebraska,Troy,4,13,-1450,850,First Round,Nebraska,DraftKings_real,Nebraska 76-47 Troy
Louisville,South Florida,6,11,-345,275,First Round,Louisville,DraftKings_real,Louisville 83-79 South Florida
Wisconsin,High Point,5,12,-950,625,First Round,High Point,DraftKings_real,High Point 83-82 Wisconsin
Duke,Siena,1,16,-20000,3500,First Round,Duke,DraftKings_real,Duke 71-65 Siena
Vanderbilt,McNeese,5,12,-550,410,First Round,Vanderbilt,DraftKings_real,Vanderbilt 78-68 McNeese
Texas AM,Saint Mary's,10,7,145,-175,First Round,Texas AM,DraftKings_real,Texas AM 63-50 Saint Mary's
Texas,BYU,11,6,130,-145,First Round,Texas,approximated,Texas 79-71 BYU
Michigan,Howard,1,16,-5000,1400,First Round,Michigan,DraftKings_real,Michigan 101-80 Howard
VCU,North Carolina,11,6,120,-144,First Round,VCU,DraftKings_real,VCU 82-78 North Carolina OT
Arkansas,Hawaii,4,13,-2400,1200,First Round,Arkansas,DraftKings_real,Arkansas 97-78 Hawaii — Hawaii not in CBBD
Michigan State,North Dakota State,3,14,-1600,950,First Round,Michigan State,DraftKings_real,Michigan State 92-67 North Dakota State
Gonzaga,Kennesaw State,3,14,-8000,2200,First Round,Gonzaga,DraftKings_real,Gonzaga 73-64 Kennesaw State
Houston,Idaho,2,15,-10000,3000,First Round,Houston,DraftKings_real,Houston 78-47 Idaho
Kentucky,Santa Clara,7,10,-162,136,First Round,Kentucky,DraftKings_real,Kentucky 89-84 Santa Clara OT
Texas Tech,Akron,5,12,-410,320,First Round,Texas Tech,DraftKings_real,Texas Tech 91-71 Akron
Arizona,Long Island,1,16,-100000,5000,First Round,Arizona,DraftKings_real,Arizona 92-52 Long Island
Virginia,Wright State,3,14,-3200,1400,First Round,Virginia,DraftKings_real,Virginia 82-73 Wright State
Illinois,Penn,3,14,-20000,3500,First Round,Illinois,DraftKings_real,Illinois 105-70 Penn
Saint Louis,Georgia,9,8,-124,104,First Round,Saint Louis,DraftKings_real,Saint Louis 102-77 Georgia
Iowa State,Tennessee State,2,15,-6500,2000,First Round,Iowa State,DraftKings_real,Iowa State 108-74 Tennessee State
Alabama,Hofstra,4,13,-675,490,First Round,Alabama,DraftKings_real,Alabama 90-70 Hofstra
Kansas,Cal Baptist,4,13,-1100,680,First Round,Kansas,DraftKings_real,Kansas 68-60 Cal Baptist
