round,team_a,team_b,winner,model_prob_a,model_prob_b,market_prob_a,market_prob_b,edge_a,edge_b,ev_a,ev_b,bet_team,bet_stake,bet_odds,bet_result,profit,cumulative_pnl,bankroll,data_quality,skipped,skip_reason
First Four,NC State,Texas,NC State,0.5269,0.4731,0.5217,0.4783,0.0052,-0.0052,-3.4,-5.38,,0.0,,,0.0,0.0,1000.0,real,False,
First Four,SMU,Miami (OH),Southern Methodist,0.6979,0.3021,0.7335,0.2665,-0.0356,0.0356,-8.74,8.76,Miami (OH),8.42,260.0,loss,-8.42,-8.42,991.58,real,False,
First Four,UMBC,Howard,Howard,0.5018,0.4982,0.5217,0.4783,-0.0199,0.0199,-8.0,-0.36,,0.0,,,0.0,-8.42,991.58,real,False,
First Four,Lehigh,Prairie View A&M,Prairie View A&M,0.5443,0.4557,0.5217,0.4783,0.0226,-0.0226,-0.21,-8.86,,0.0,,,0.0,-8.42,991.58,real,False,
First Round,St. John's,Northern Iowa,St. John's,0.8213,0.1787,0.7768,0.2232,0.0445,-0.0445,1.45,-23.16,St. John's,15.33,-425.0,win,3.61,-4.81,995.19,real,False,
First Round,Ohio State,TCU,TCU,0.6264,0.3736,0.6575,0.3425,-0.0311,0.0311,-8.63,4.61,TCU,6.37,180.0,win,11.47,6.65,1006.65,real,False,
First Round,Duke,Siena,Duke,0.9852,0.0148,0.9728,0.0272,0.0124,-0.0124,-0.99,-46.72,,0.0,,,0.0,6.65,1006.65,real,False,
First Round,Kansas,California Baptist,Kansas,0.8781,0.1219,0.8082,0.1918,0.0699,-0.0699,4.22,-39.05,Kansas,56.86,-535.0,win,10.63,17.28,1017.28,real,False,
First Round,Michigan State,North Dakota State,Michigan State,0.9297,0.0703,0.9081,0.0919,0.0216,-0.0216,-1.22,-26.19,,0.0,,,0.0,17.28,1017.28,real,False,
First Round,Louisville,South Florida,Louisville,0.7096,0.2904,0.7441,0.2559,-0.0345,0.0345,-8.47,8.9,South Florida,8.23,275.0,loss,-8.23,9.05,1009.05,real,False,
First Round,UCLA,UCF,UCLA,0.6794,0.3206,0.705,0.295,-0.0256,0.0256,-7.62,4.2,UCF,4.7,225.0,loss,-4.7,4.35,1004.35,real,False,
First Round,Arkansas,Hawaii,Arkansas,,,,,,,,,,,,,,,,real,True,Missing team stats
First Round,Wisconsin,High Point,High Point,0.7531,0.2469,0.8677,0.1323,-0.1146,0.1146,-16.76,79.0,High Point,31.74,625.0,win,198.38,202.73,1202.73,real,False,
First Round,Villanova,Utah State,Utah State,0.4123,0.5877,0.5514,0.4486,-0.1391,0.1391,-28.23,25.77,Utah State,67.96,114.0,win,77.47,280.2,1280.2,real,False,
First Round,Arizona,Long Island University,Arizona,0.9868,0.0132,0.9808,0.0192,0.006,-0.006,-1.22,-32.68,,0.0,,,0.0,280.2,1280.2,real,False,
First Round,UConn,Furman,UConn,0.9614,0.0386,0.9578,0.0422,0.0036,-0.0036,-2.66,-11.22,,0.0,,,0.0,280.2,1280.2,real,False,
First Round,Michigan,Howard,Michigan,0.9891,0.0109,0.9363,0.0637,0.0528,-0.0528,0.89,-83.65,Michigan,142.13,-5000.0,win,2.84,283.04,1283.04,real,False,
