round,team_a,team_b,winner,model_prob_a,model_prob_b,market_prob_a,market_prob_b,edge_a,edge_b,ev_a,ev_b,bet_team,bet_stake,bet_odds,bet_result,profit,cumulative_pnl,bankroll,data_quality,skipped,skip_reason
First Four,UMBC,Howard,Howard,0.5018,0.4982,0.5217,0.4783,-0.0199,0.0199,-8.0,-0.36,,0.0,,,0.0,0.0,1000.0,real,False,
First Four,NC State,Texas,Texas,0.5296,0.4704,0.5217,0.4783,0.0079,-0.0079,-2.91,-5.92,,0.0,,,0.0,0.0,1000.0,real,False,
First Four,Lehigh,Prairie View A&M,Prairie View A&M,0.5435,0.4565,0.5217,0.4783,0.0218,-0.0218,-0.36,-8.7,,0.0,,,0.0,0.0,1000.0,real,False,
First Four,SMU,Miami (OH),Miami (OH),0.7169,0.2831,0.7335,0.2665,-0.0166,0.0166,-6.25,1.92,Miami (OH),1.84,260.0,win,4.78,4.78,1004.78,real,False,
First Round,Nebraska,Troy,Nebraska,0.9581,0.0419,0.8989,0.1011,0.0592,-0.0592,2.42,-60.2,Nebraska,88.06,-1450.0,win,6.07,10.86,1010.86,real,False,
First Round,Ohio State,TCU,TCU,0.6313,0.3687,0.583,0.417,0.0483,-0.0483,3.86,-15.2,Ohio State,15.12,-155.0,loss,-15.12,-4.26,995.74,real,False,
First Round,Wisconsin,High Point,High Point,0.7772,0.2228,0.8677,0.1323,-0.0905,0.0905,-14.1,61.53,High Point,24.51,625.0,win,153.19,148.92,1148.92,real,False,
First Round,Louisville,South Florida,Louisville,0.7163,0.2837,0.7441,0.2559,-0.0278,0.0278,-7.61,6.39,South Florida,6.67,275.0,loss,-6.67,142.25,1142.25,real,False,
First Round,Duke,Siena,Duke,0.9957,0.0043,0.9728,0.0272,0.0229,-0.0229,0.07,-84.52,Duke,38.75,-20000.0,win,0.19,142.45,1142.45,real,False,
First Round,Vanderbilt,McNeese,Vanderbilt,0.8087,0.1913,0.8119,0.1881,-0.0032,0.0032,-4.43,-2.44,,0.0,,,0.0,142.45,1142.45,real,False,
