team,barthag,adj_o,adj_d,adj_t
Michigan,0.9861,130.7,88.7,
Duke,0.9843,129.2,88.7,
Arizona,0.9803,126.8,88.9,
Illinois,0.9715,133.4,96.8,
Florida,0.9727,126.5,91.4,
Houston,0.9734,123.6,89.1,
Iowa State,0.9693,125.1,91.4,
Purdue,0.9581,132.9,100.0,
Gonzaga,0.9638,122.5,90.9,
UConn,0.9566,123.2,93.0,
Michigan State,0.9542,122.7,93.1,
Alabama,0.9382,129.2,100.9,
Nebraska,0.9494,120.1,92.0,
Tennessee,0.9458,121.9,94.0,
St. John's,0.9444,121.6,94.0,
Vanderbilt,0.936,127.1,99.6,
Louisville,0.9402,124.1,96.6,
Virginia,0.9373,123.4,96.5,
Arkansas,0.9281,128.7,102.0,
Texas Tech,0.9318,124.8,98.4,
Iowa,0.9234,124.9,99.6,
Kansas,0.9306,117.5,92.8,
Saint Mary's,0.9235,120.4,96.0,
BYU,0.9124,125.1,101.1,
Wisconsin,0.9088,126.2,102.4,
Utah State,0.9111,124.3,100.6,
North Carolina,0.9127,121.8,98.4,
Ohio State,0.907,125.1,101.7,
Kentucky,0.9114,121.5,98.3,
Saint Louis,0.905,122.5,99.8,
UCLA,0.8943,123.0,101.3,
Georgia,0.8917,124.4,102.7,
Miami,0.8927,121.6,100.3,
NC State,0.8827,124.1,103.3,
Auburn,0.8758,126.0,105.5,
Indiana,0.8779,121.8,101.8,
Texas,0.8711,124.8,104.9,
Clemson,0.8856,117.2,97.3,
Villanova,0.8779,120.0,100.3,
Santa Clara,0.8683,123.1,103.7,
SMU,0.8595,123.2,104.5,
South Florida,0.8655,118.8,100.3,
New Mexico,0.8656,118.1,99.7,
Texas A&M,0.857,119.8,101.8,
Oklahoma,0.8467,123.7,105.9,
Baylor,0.8446,123.4,105.8,
VCU,0.847,119.4,102.2,
Cincinnati,0.8619,111.5,94.4,
TCU,0.8533,116.3,99.1,
Seton Hall,0.8586,111.1,94.3,
San Diego State,0.8511,112.6,96.1,
Washington,0.8354,118.0,101.8,
Tulsa,0.824,122.2,106.2,
West Virginia,0.8398,112.3,96.6,
Virginia Tech,0.8149,118.2,103.3,
Boise State,0.8084,119.0,104.4,
